,user_id,item_id,score,track_name,artist_name
0,119,5704,11.234782218933105,Lemonworld,The National
1,119,5735,11.090653419494629,Vanderlyle Crybaby Geeks,The National
2,119,10614,10.634905815124512,Two-Headed Boy,Neutral Milk Hotel
3,119,10448,10.537714004516602,Obstacle 2,Interpol
4,119,1844,10.33515739440918,New Slang,The Shins
5,119,6235,10.056448936462402,Nantes,Beirut
6,119,4429,10.049517631530762,All I Need,Radiohead
7,119,1899,10.046545028686523,Jigsaw Falling into Place,Radiohead
8,119,1502,10.0449800491333,Solitude Is Bliss,Tame Impala
9,119,3668,9.971418380737305,Come a Little Closer,Cage the Elephant
10,119,18352,9.968411445617676,Desire Lines,Deerhunter
11,119,1540,9.9118070602417,Tessellate,Alt-J
12,119,2190,9.906644821166992,Walcott,Vampire Weekend
13,119,11505,9.818673133850098,Not Even Jail,Interpol
14,119,1932,9.760307312011719,How Soon Is Now?,The Smiths
15,119,5710,9.747681617736816,Dissolve Me,Alt-J
16,119,3669,9.689826011657715,Take It or Leave It,Cage the Elephant
17,119,5770,9.649433135986328,No One's Gonna Love You,Band of Horses
18,119,3667,9.642433166503906,Spiderhead,Cage the Elephant
19,119,7538,9.532931327819824,Such Great Heights,The Postal Service
20,161,14411,12.188643455505371,Junesong Provision,Coheed and Cambria
21,161,14745,11.417046546936035,Neverender,Coheed and Cambria
22,161,32132,10.90472412109375,World of Lines,Coheed and Cambria
23,161,29660,10.590130805969238,Peacock Skeleton With Crooked Feathers,The Blood Brothers
24,161,29663,9.761283874511719,My First Kiss At The Public Execution,The Blood Brothers
25,161,32135,9.56432819366455,When Skeletons Live,Coheed and Cambria
26,161,29664,9.407949447631836,Live At The Apocalypse Cabaret,The Blood Brothers
27,161,26753,9.341795921325684,,
28,161,12564,9.23641300201416,In the Flame of Error,Coheed and Cambria
29,161,32134,9.09785270690918,Pearl of the Stars,Coheed and Cambria
30,161,29661,9.09210205078125,Teen Heat,The Blood Brothers
31,161,32133,8.949783325195312,Made Out Of Nothing (All That I Am),Coheed and Cambria
32,161,29668,8.891304969787598,Devastator,The Blood Brothers
33,161,29665,8.802927017211914,Beautiful Horses,The Blood Brothers
34,161,19364,8.796957969665527,Junesong Provision (Acoustic Demo),Coheed and Cambria
