,user_id,item_id,score,track_name,artist_name
0,23552,1540,11.776106834411621,Tessellate,Alt-J
1,23552,5710,10.626558303833008,Dissolve Me,Alt-J
2,23552,4501,10.554112434387207,Crosses,José González
3,23552,1054,10.332048416137695,Teardrop,Massive Attack
4,23552,26628,10.31185531616211,54-46 Was My Number,Toots and The Maytals
5,23552,7726,10.257820129394531,Problem,Ariana Grande
6,23552,4456,10.165037155151367,Your Hand in Mine,Explosions in the Sky
7,23552,20181,10.139605522155762,Savane,Ali Farka Touré
8,23552,3634,10.096034049987793,Toothpaste Kisses,The Maccabees
9,23552,7747,10.095020294189453,Fast Car,Tracy Chapman
10,23552,24696,9.965417861938477,Complex Heaven,Brian Eno
11,23552,45000,9.91112232208252,Soya,Ali Farka Touré
12,23552,1114,9.82275676727295,Paradise Circus,Massive Attack
13,23552,4997,9.80286979675293,Tick Tick Boom,The Hives
14,23552,5459,9.74958610534668,Can't Remember to Forget You,Shakira
15,23552,7376,9.725595474243164,A New Error,Moderat
16,23552,13291,9.664103507995605,Howlin’ For You,The Black Keys
17,23552,5787,9.662516593933105,The Monster,Eminem
18,23552,6343,9.623302459716797,Starálfur,Sigur Rós
19,23552,7754,9.622451782226562,Welcome Home,Radical Face
20,23553,7357,11.7465238571167,Nutshell,Alice in Chains
21,23553,7361,11.366798400878906,Gita,Moderat
22,23553,6682,11.244524955749512,Let in the Light,Moderat
23,23553,7396,11.16259479522705,This Time,Moderat
24,23553,6880,11.154972076416016,Fitter Happier,Radiohead
25,23553,7536,10.956832885742188,Let Me Drown,Soundgarden
26,23553,78,10.659334182739258,Let Down,Radiohead
27,23553,6881,10.632428169250488,Electioneering,Radiohead
28,23553,8345,10.632009506225586,Your Decision,Alice in Chains
29,23553,7537,10.573375701904297,Mailman,Soundgarden
30,23553,6879,10.490364074707031,Airbag,Radiohead
31,23553,8422,10.39417552947998,Came Back Haunted,Nine Inch Nails
32,23553,11184,10.362521171569824,4th of July,Soundgarden
33,23553,7366,10.349756240844727,Damage Done,Moderat
34,23553,9454,10.268988609313965,Like Suicide,Soundgarden
35,23553,2237,10.152673721313477,Head Down,Soundgarden
36,23553,3,10.116825103759766,Something in the Way,Nirvana
37,23553,19439,10.013750076293945,The Wretched,Nine Inch Nails
38,23553,21000,9.90497875213623,The Wider Sun,Jon Hopkins
39,23553,15128,9.876445770263672,Crackerman,Stone Temple Pilots
40,23554,24671,10.514543533325195,The Way I Are,Timbaland
