,user_id,item_id,org_id,freebase_id,track_name,artist_id,artist_name
4346,30,5254,288441,m.0fs1q26,Kilojoules,19954.0,Freelance Whales
4347,30,5708,746008,m.0fqdyt4,The Great Estates,19954.0,Freelance Whales
4348,30,5248,746013,m.0fyhs9l,Location,19954.0,Freelance Whales
4349,30,24476,252966,m.0g0yxk0,Broken Horse,19954.0,Freelance Whales
4350,30,5238,347396,m.0fvqyk7,"Oh, Maker",15910.0,Janelle Monáe
4351,30,5238,347396,m.0fvqyk7,"Oh, Maker",15910.0,Janelle Monáe
4352,30,5255,100242,m.0dv1k5q,Hey Stephen,3744.0,Taylor Swift
4353,30,5257,105726,m.0dzl8fz,Fallin' for You,15914.0,Colbie Caillat
4354,30,29438,289623,m.0dw_f_v,All Fall Down,1626.0,OneRepublic
4355,30,29439,464085,m.0dsv8t1,Won't Stop,1626.0,OneRepublic
4356,30,11011,288433,m.0frnrtp,Marchin On,1626.0,OneRepublic
4357,30,5230,66674,m.0f87c_j,Landslide,11420.0,Stacey Kent
4358,30,44939,615069,m.0178ydx,Say It Isn't So,11420.0,Stacey Kent
4359,30,35673,110931,m.0156n1v,Come Fly With Me,2762.0,Michael Bublé
4360,30,5235,134273,m.0dmm6bd,Me and Mrs. Jones,2762.0,Michael Bublé
4361,30,5233,68319,m.0f4swqy,Ces petits riens,11420.0,Stacey Kent
4362,30,27987,5442,m.010twk2,Rewrite,617.0,ASIAN KUNG-FU GENERATION
4363,30,8880,309084,m.0fw2xqd,My Hands,9928.0,Leona Lewis
4364,30,919,313820,m.0sl1cc1,Miss Missing You,57.0,Fall Out Boy
4365,30,919,313820,m.0sl1cc1,Miss Missing You,57.0,Fall Out Boy
4366,30,16178,111405,m.017xqmh,Everywhere,16575.0,Michelle Branch
4367,31,39460,501235,m.0tpczm3,Flyin' High,2980.0,ZZ Top
4368,31,10400,48170,m.0q31my,I Want You,482.0,Kiss
4369,31,5388,1344283,m.0nptfl,Sky Is Falling,13500.0,Lifehouse
4370,31,5283,558305,m.0qxsh6,Coming Home,182.0,Scorpions
4371,31,583,88347,m.015jsm6,Next Contestant,9716.0,Nickelback
4372,31,5328,129645,m.01f51q5,Duck And Run,6773.0,3 Doors Down
4373,31,1140,363306,m.0ds7mkp,Midnight Madness,3153.0,The Chemical Brothers
4374,31,5355,783874,m.0z77kn,Where You Are,9682.0,Rascal Flatts
4375,31,5597,4639,m.0mtwng,Anything but Ordinary,28.0,Avril Lavigne
4376,31,17861,26824,m.0nn7bcv,This Is Letting Go,438.0,Rise Against
4377,31,2794,3449,m.011vm79,Give It All,438.0,Rise Against
4378,31,22405,237283,m.0rynyt,Nom The Wise,384.0,Blind Guardian
4379,31,2793,101754,m.011vm5k,State of the Union,438.0,Rise Against
4380,31,584,88346,m.015jsmf,Side Of A Bullet,9716.0,Nickelback
4381,31,5392,105503,m.0dmynsc,Mary's Song (Oh My My My),3744.0,Taylor Swift
4382,31,5323,557985,m.0fx_5bv,Sting In The Tail,182.0,Scorpions
4383,31,13502,92909,m.0xvlx6,Scars,686.0,Papa Roach
4384,31,538,101753,m.011vm5s,The First Drop,438.0,Rise Against
4385,31,5095,276169,m.0lrc6b,Spread Your Wings,384.0,Blind Guardian
4386,31,34421,1384097,m.0dy0fm5,Unlove You,3897.0,Ashley Tisdale
4387,31,13126,273248,m.0g5z_81,Black Star,28.0,Avril Lavigne
4388,31,4566,325,m.0m4cfb,"Mama, I'm Coming Home",37.0,Ozzy Osbourne
4389,31,5402,597070,m.0lhl__,Diggin' This,9716.0,Nickelback
4390,31,5311,86073,m.0ngxk9,Away From The Sun,6773.0,3 Doors Down
